Method,Model,Mean Accuracy,Std Dev
PCA,Logistic Regression,0.8061815336463223,0.01966070466282137
PCA,Decision Tree,0.9623043818466351,0.03186655743548832
PCA,Random Forest,0.962284820031299,0.025096642659185535
PCA,KNN,0.8046752738654147,0.028265875514111624
PCA,Naive Bayes,0.8118153364632239,0.02436227570982172
PCA,SVM,0.8160211267605634,0.03290111834390756
PCA,XGBoost,0.9636932707355242,0.022713146203571323
PCA,LightGBM,0.9637323943661972,0.022582537843455062
NCA,Logistic Regression,0.8508802816901408,0.0409533086467703
NCA,Decision Tree,0.9678403755868545,0.023559963231652426
NCA,Random Forest,0.9623043818466354,0.027302303096885708
NCA,KNN,0.8522691705790297,0.03762188214782699
NCA,Naive Bayes,0.8509389671361502,0.050592315739417686
NCA,SVM,0.853755868544601,0.05209294896066234
NCA,XGBoost,0.9650821596244132,0.022003564322640137
NCA,LightGBM,0.9637519561815336,0.02860751469958015
UMAP,Logistic Regression,0.7475938967136151,0.05033442109669711
UMAP,Decision Tree,0.8717136150234742,0.03326760327806621
UMAP,Random Forest,0.8898865414710485,0.03116688338750871
UMAP,KNN,0.8411189358372457,0.04946183248787095
UMAP,Naive Bayes,0.7461658841940533,0.0516899418507439
UMAP,SVM,0.7531885758998434,0.05055274594543912
UMAP,XGBoost,0.8648082942097025,0.03554252652331405
UMAP,LightGBM,0.8676447574334898,0.029494936448132232
t-SNE,Logistic Regression,0.8105046948356808,0.048057217556489354
t-SNE,Decision Tree,0.9372456964006259,0.029975289076774544
t-SNE,Random Forest,0.9428599374021909,0.020981439940477103
t-SNE,KNN,0.8425078247261346,0.027328836198637588
t-SNE,Naive Bayes,0.7993348982785602,0.051571697915251985
t-SNE,SVM,0.8244131455399062,0.036297916946300655
t-SNE,XGBoost,0.9456181533646323,0.026662402676573677
t-SNE,LightGBM,0.9414710485133021,0.016065193694636805
